tick,organisms,fitness,avg_energy
0,500,0.5009945,1000.0066
10,512,0.5009945,988.28766
20,530,0.50098765,971.72034
30,556,0.50098765,949.66144
40,579,0.5009637,931.8071
50,586,0.5009637,926.649
60,600,0.50096023,916.69666
70,619,0.50096023,903.9063
80,630,0.5009808,896.8588
90,646,0.5009808,887.0295
100,662,0.5010288,877.6909
110,669,0.5010288,873.73895
120,693,0.50105286,860.8014
130,711,0.50105286,851.6672
140,729,0.50103223,842.9865
150,765,0.50103223,826.846
160,790,0.5010494,816.50964
170,821,0.5010494,804.5586
180,829,0.501094,801.63196
190,838,0.501094,798.39246
200,850,0.5010974,794.1833
210,865,0.5010974,789.08185
220,881,0.50118995,783.8361
230,915,0.50118995,773.2892
240,939,0.5011625,766.3069
250,961,0.5011625,760.2104
260,990,0.50126886,752.59344
270,1020,0.50126886,745.16425
280,1059,0.5014163,736.14
290,1078,0.5014163,731.97797
300,1104,0.50150204,726.5222
310,1134,0.50150204,720.52954
320,1155,0.5014918,716.5234
330,1187,0.5014918,710.68616
340,1238,0.50155693,702.01025
350,1270,0.50155693,696.9202
360,1303,0.50156033,691.9381
370,1334,0.50156033,687.4778
380,1352,0.50149524,684.982
390,1364,0.50149524,683.35455
400,1402,0.50150204,678.3881
410,1437,0.50150204,674.0432
420,1483,0.5015192,668.64905
430,1512,0.5015192,665.41437
440,1557,0.5014232,660.63513
450,1583,0.5014232,657.99677
460,1621,0.50144374,654.2963
470,1666,0.50144374,650.12866
480,1709,0.50145745,646.3576
490,1766,0.50145745,641.6337
500,1803,0.5014918,638.7276
510,1837,0.5014918,636.16
520,1872,0.50157064,633.61816
530,1897,0.50157064,631.8573
540,1931,0.50156033,629.5388
550,1959,0.50156033,627.6873
560,1985,0.50159466,626.0157
570,2019,0.50159466,623.89355
580,2055,0.50162894,621.7258
590,2080,0.50162894,620.2628
600,2108,0.5016461,618.66693
610,2149,0.5016461,616.4029
620,2189,0.50159466,614.27594
630,2237,0.50159466,611.82385
640,2268,0.50152266,610.29987
650,2301,0.50152266,608.718
660,2353,0.50144374,606.31744
670,2405,0.50144374,604.0187
680,2449,0.50145066,602.1507
690,2497,0.50145066,600.1871
700,2551,0.50143003,598.0685
710,2604,0.50143003,596.07245
720,2653,0.5013889,594.29803
730,2714,0.5013889,592.1786
740,2772,0.5013169,590.24994
750,2818,0.5013169,588.77673
760,2858,0.5012826,587.5373
770,2908,0.5012826,586.03217
780,2972,0.5014403,584.1796
790,3037,0.5014403,582.378
800,3085,0.50156724,581.097
810,3133,0.50156724,579.85455
820,3174,0.50162554,578.82367
830,3223,0.50162554,577.6253
840,3271,0.5016564,576.4869
850,3309,0.5016564,575.6085
860,3345,0.5016769,574.79474
870,3388,0.5016769,573.84546
880,3438,0.5017284,572.77185
890,3483,0.5017284,571.83167
900,3532,0.5017764,570.8363
910,3557,0.5017764,570.33844
920,3605,0.50184846,569.40234
930,3644,0.50184846,568.65955
940,3680,0.50178325,567.98785
950,3721,0.50178325,567.2388
960,3773,0.50172496,566.3121
970,3827,0.50172496,565.3764
980,3882,0.50175583,564.451
990,3936,0.50175583,563.5668
